Trip_Distance,Customer_Since_Months,Life_Style_Index,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Surge_Pricing_Type,Type_of_Cab_B,Type_of_Cab_C,Type_of_Cab_D,Type_of_Cab_E,Confidence_Life_Style_Index_B,Confidence_Life_Style_Index_C,Destination_Type_B,Destination_Type_C,Destination_Type_D,Destination_Type_E,Destination_Type_F,Destination_Type_G,Destination_Type_H,Destination_Type_I,Destination_Type_J,Destination_Type_K,Destination_Type_L,Destination_Type_M,Destination_Type_N,Gender_Male
36.76,5.0,2.64466,2.46375,0,83.0,49,68,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13.44,6.0,2.68583,1.54375,0,73.0,47,62,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51.98,0.0,3.11521,3.78375,0,60.0,46,61,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.04,10.0,2.94976,1.6825,0,61.0,61,95,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
108.5,2.0,2.99815,2.37,0,61.0,59,96,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.57,10.0,3.07572,3.8075,1,61.0,52,69,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
43.17,9.0,2.55422,1.64125,3,61.0,55,72,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.42,0.0,2.7305,3.6075,0,61.0,53,69,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36.22,0.0,2.74202,2.19125,0,61.0,49,69,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55.02,10.0,3.20656,4.53,1,61.0,46,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49.05,2.0,3.00109,2.45625,1,36.0,47,71,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18.15,10.0,2.79805,3.765,0,59.0,52,79,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32.14,10.0,2.4815,2.325,1,61.0,51,68,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.19,0.0,2.87003,3.9875,1,61.0,48,70,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47.57,0.0,2.79805,3.4875,0,97.0,49,66,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.69,0.0,2.60677,1.67375,1,39.0,48,65,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.75,0.0,2.51089,2.3725,0,61.0,46,57,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37.16,4.0,2.79805,3.1375,1,61.0,72,90,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62.22,3.0,3.11713,4.15625,0,61.0,49,77,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78.98,6.0,2.79805,4.04875,2,61.0,49,68,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34.38,4.0,2.79805,2.22,1,61.0,52,66,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56.73,2.0,2.79805,2.89375,0,79.0,47,64,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39.18,6.0,2.79805,1.9075,0,74.0,55,81,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17.52,0.0,2.60164,2.4725,0,61.0,47,63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30.99,9.0,2.79805,2.47375,0,61.0,53,75,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92.91,10.0,3.11319,3.61125,2,58.0,68,101,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.22,10.0,2.90889,1.6375,2,61.0,54,89,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.57,10.0,2.72936,1.7525,1,102.0,52,71,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48.69,8.0,2.92202,3.40875,1,61.0,57,76,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.13,7.0,2.54178,2.47625,1,75.0,48,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.65,6.0,2.70699,2.18,0,61.0,51,77,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56.66,8.0,2.79805,2.12375,0,54.0,51,71,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47.4,6.0,2.94365,2.8375,0,61.0,54,79,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.5,5.0,2.79805,1.59,0,97.0,60,79,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61.95,10.0,3.17557,2.7825,0,32.0,54,78,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
107.63,10.0,2.9752,3.8325,1,61.0,46,60,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38.07,10.0,2.54604,1.31625,0,61.0,56,87,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62.54,1.0,3.33086,3.9525,0,61.0,49,85,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23.87,7.0,2.79805,1.37125,0,61.0,54,75,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
62.6,7.0,3.29114,3.43625,1,98.0,51,94,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.05,2.0,2.78181,2.775,2,39.0,54,82,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.14,10.0,2.61967,1.14,0,93.0,54,91,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.41,3.0,2.79805,4.21875,0,61.0,43,59,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.24,10.0,2.88074,3.625,1,61.0,52,69,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14.51,10.0,2.7756,3.20375,0,76.0,49,65,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.53,1.0,2.7788,4.6925,0,50.0,47,59,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.51,8.0,2.85474,2.17125,1,61.0,55,82,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33.51,8.0,3.13281,4.875,0,65.0,45,58,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66.59,10.0,2.85882,3.95,0,61.0,46,62,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
92.34,10.0,2.86489,2.2325,0,61.0,49,62,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73.76,6.0,2.89235,3.605,1,88.0,46,63,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.23,10.0,2.31769,1.38375,0,61.0,45,60,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.19,2.0,2.6737,2.77875,0,61.0,56,80,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32.03,6.0,2.63764,2.77,1,61.0,50,67,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29.24,5.0,2.79805,3.51375,1,61.0,45,56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.95,1.0,2.9527,2.55375,0,61.0,53,71,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78.46,7.0,2.83523,2.24,0,61.0,49,73,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21.46,6.0,2.63792,3.62625,4,61.0,47,78,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.96,8.0,2.68813,3.39375,0,61.0,47,58,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.93,0.0,2.79805,3.1775,0,109.0,45,57,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31.78,2.0,2.84128,4.405,2,68.0,51,66,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.18,8.0,2.38539,4.18125,0,61.0,48,66,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
19.62,10.0,3.00134,2.5525,2,61.0,53,65,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
44.55,6.0,3.25293,4.23375,0,100.0,52,80,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.29,5.0,2.79805,1.5425,0,92.0,53,76,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
34.58,10.0,2.59889,1.485,0,61.0,49,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.11,10.0,3.11158,3.15375,3,76.0,50,78,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47.85,2.0,2.74385,2.525,0,61.0,57,81,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
51.03,10.0,2.58634,2.41875,0,47.0,63,89,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
30.34,6.0,2.41717,0.15125,1,61.0,48,85,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61.53,7.0,3.07829,4.0275,1,72.0,47,75,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77.9,10.0,2.77376,2.395,0,61.0,53,81,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30.35,10.0,2.60735,2.4875,1,41.0,50,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.15,10.0,2.80752,3.94625,0,61.0,49,66,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92.49,2.0,3.11708,3.6725,0,61.0,46,76,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47.42,9.0,2.68379,1.895,0,61.0,47,63,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.92,8.0,2.66349,2.16875,0,58.0,51,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37.71,0.0,2.78515,2.93,0,60.0,45,66,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108.74,10.0,2.98507,2.07625,0,61.0,59,101,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.86,3.0,2.87515,3.28,1,49.0,54,77,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46.08,7.0,2.74682,3.4775,2,61.0,51,73,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.3,7.0,2.65026,2.66375,1,39.0,50,84,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42.42,10.0,2.66861,2.49625,1,61.0,48,61,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.27,10.0,2.79805,2.13625,3,61.0,51,85,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30.67,1.0,2.72325,2.63125,0,61.0,57,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.76,3.0,2.48296,3.695,1,61.0,45,55,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
107.77,10.0,2.95507,2.315,0,43.0,49,86,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35.57,4.0,2.79805,2.935,2,42.0,52,73,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.07,0.0,2.69554,4.39375,2,63.0,54,73,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23.08,3.0,2.93155,2.58875,0,71.0,54,78,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.85,6.0,2.36745,4.23125,0,61.0,61,80,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34.82,0.0,2.86901,3.48625,0,75.0,49,69,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21.0,6.0,2.37478,4.21,1,53.0,48,66,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.58,10.0,2.99978,2.57,1,31.0,47,67,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15.55,1.0,2.75201,3.73125,1,61.0,53,91,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106.59,3.0,3.33063,3.88875,4,46.0,51,92,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9.67,10.0,2.52498,1.75,1,61.0,53,79,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
17.11,10.0,2.86896,2.69125,0,61.0,51,79,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.53,5.0,2.79805,2.78875,2,61.0,54,69,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17.92,3.0,2.79805,3.68375,2,61.0,47,57,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45.16,0.0,2.79805,3.41375,2,45.0,50,62,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108.63,4.0,2.79805,4.3325,1,61.0,54,76,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13.32,6.0,2.69304,2.705,0,108.0,49,75,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66.18,10.0,3.00124,3.27625,4,33.0,51,70,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.96,0.0,2.93755,2.2275,1,61.0,49,71,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29.2,3.0,2.66438,2.75,0,93.0,53,71,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
45.7,9.0,2.86394,1.46625,1,61.0,53,79,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29.53,1.0,2.79805,3.4175,0,34.0,57,102,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93.27,6.0,2.80976,1.46375,0,61.0,55,69,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30.56,9.0,2.87168,4.02,2,61.0,49,73,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59.45,10.0,2.80722,0.83375,0,57.0,47,83,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29.41,10.0,2.61209,2.915,1,66.0,52,89,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55.2,0.0,2.91759,1.4425,0,83.0,50,66,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35.06,3.0,2.70543,2.95375,0,55.0,51,65,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3.47,10.0,2.60245,3.1625,0,41.0,51,66,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.81,1.0,2.81199,2.89625,1,61.0,53,66,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25.65,2.0,2.66786,3.07375,1,105.0,52,70,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.01,6.0,2.81404,2.3825,0,68.0,48,73,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
61.31,9.0,2.87298,2.32,1,61.0,49,77,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
33.55,8.0,2.57117,1.24625,2,61.0,48,68,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106.58,0.0,3.24252,3.2175,2,45.0,55,95,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31.75,3.0,2.87022,2.72625,1,41.0,54,81,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86.2,10.0,3.17734,3.8375,0,58.0,58,81,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
85.98,10.0,2.79805,2.02125,0,61.0,58,86,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29.75,6.0,2.79805,2.1275,0,61.0,57,70,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86.31,5.0,2.79805,2.835,0,61.0,46,63,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.59,1.0,2.56615,2.44625,0,61.0,47,65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.7,7.0,2.68501,1.825,1,61.0,54,69,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44.62,0.0,2.97945,1.9575,0,61.0,49,62,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30.39,5.0,2.71447,2.3325,1,61.0,51,66,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78.43,10.0,2.80833,2.4125,0,70.0,55,90,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51.23,2.0,2.85163,2.98375,0,61.0,55,78,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.19,6.0,2.9363,3.71875,0,61.0,52,71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108.93,0.0,3.53792,4.67625,3,79.0,54,75,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24.53,6.0,2.82378,3.7475,0,61.0,49,75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.46,2.0,2.86184,2.215,0,61.0,50,65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.11,2.0,2.63147,2.03875,2,61.0,50,63,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.53,0.0,2.27926,3.5975,0,61.0,46,58,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56.66,3.0,3.00205,1.48,0,61.0,48,69,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20.69,8.0,2.44908,2.52125,2,72.0,45,61,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
61.66,10.0,2.79805,3.83,1,45.0,43,71,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.83,7.0,3.13117,2.44625,0,61.0,48,67,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
61.42,10.0,2.8462,3.2175,0,61.0,49,83,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
